"site","X","country","PDI","IDV","MAS","UAI","num_u","num_q","num_a","num_tp_c","num_tp_e","perc_a","perc_q","perc_tp_c","perc_tp_e","GNI","Internet","EPI","WVS","tipo"
"stackoverflow",1,"Argentina",49,46,56,86,2798,3.09968800048456,5.28835795591733,9.23163906144364,4.41581791902258,0.535739814152966,0.52108649035025,0.253395282344532,0.092566118656183,NA,51,59.02,0.38,"Coletivista"
"stackoverflow",2,"Australia",36,90,61,51,12313,3.75023303208501,7.01761734152984,11.5048129604383,4.411496578959,0.613335499066028,0.589783156013969,0.333955981482985,0.146999106635264,59570,79.5,NA,1.75,"Individualista"
"stackoverflow",3,"Austria",11,55,79,70,2518,3.72815081174356,6.94481496762025,11.2031198803772,5.71954486120862,0.631056393963463,0.593328038125496,0.350277998411438,0.149324861000794,48160,79.8,63.21,1.43,"Individualista"
"stackoverflow",4,"Bangladesh",80,20,55,60,2558,3.28264434467554,4.96505467499787,8.93277424446283,6.43418463655215,0.39288506645817,0.475762314308053,0.159890539483972,0.0805316653635653,840,5,NA,-0.93,"Coletivista"
"stackoverflow",5,"Belgium",65,75,54,94,4275,3.79544606006739,6.54306104304666,11.4395789451129,4.76405725522882,0.608187134502924,0.608888888888889,0.320233918128655,0.146666666666667,44990,78,61.21,1.13,"Individualista"
"stackoverflow",6,"Brazil",69,38,49,76,10717,2.99348023551938,4.21282701522329,7.63516893545966,3.70772709224314,0.482691051600261,0.46580199682747,0.203881683306896,0.0835121769151815,11630,45,49.96,0.81,"Coletivista"
"stackoverflow",7,"Bulgaria",70,30,40,85,1463,3.62213853169357,6.73436504135605,11.4808433906295,5.060310759541,0.568010936431989,0.514012303485988,0.286397812713602,0.114832535885167,6870,51,NA,-1.01,"Coletivista"
"stackoverflow",8,"Canada",39,80,52,48,17591,3.82593668307636,6.56169993784139,10.6567399995444,4.64391530239305,0.601500767437894,0.598772099368996,0.328406571542266,0.134727985901882,50970,83,NA,1.91,"Individualista"
"stackoverflow",9,"Chile",63,23,28,86,1075,2.83516142776546,4.35097001867974,7.01431152928966,3.86853814984104,0.483720930232558,0.484651162790698,0.210232558139535,0.0762790697674419,14280,52.3,48.75,0,"Coletivista"
"stackoverflow",10,"China",80,20,66,30,13401,2.60580925106181,3.03929654708088,5.22954310372153,3.05404795578297,0.355719722408775,0.363107230803671,0.107827774046713,0.029773897470338,5680,38.3,50.15,-1.16,"Coletivista"
"stackoverflow",11,"Colombia",67,13,64,80,1224,2.93569798111175,3.728968978132,6.68945365112418,2.95365043696134,0.477941176470588,0.496732026143791,0.17156862745098,0.059640522875817,6990,40.4,48.54,0.6,"Coletivista"
"stackoverflow",12,"Costa Rica",35,15,21,86,431,3.09754867735634,4.06702736369337,6.85184624787951,5.8876529278369,0.487238979118329,0.489559164733179,0.201856148491879,0.0580046403712297,8740,42.1,48.53,NA,"Coletivista"
"stackoverflow",13,"Croatia",73,33,40,80,1069,3.96851529212306,6.43765293224774,11.0194541517208,5.25451364444801,0.545369504209542,0.536950420954163,0.285313376987839,0.108512628624883,13290,59.6,NA,0.31,"Coletivista"
"stackoverflow",14,"Czech Republic",57,58,57,74,2701,3.71040607517536,6.37554903484442,10.3789413444997,5.18997689246781,0.574601999259533,0.542391706775268,0.299518696778971,0.117734172528693,18130,73,57.42,0.38,"Individualista"
